30 graphs in nwdGraphs30.txt

** G1: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      (28, 13, 74.422)
      (28, 15, 42.051)
      (28, 17, 16.560)
      (28, 18, 89.441)
      (28, 20, 35.045)
      (29,  1,  9.230)
      (29,  7, 37.088)
      (29,  9, 79.685)
      (29, 16, 63.398)
      (29, 23, 45.129)
      (29, 27, 16.743) }
------------------------- 

** G9: |V|=35, V={0,1,...34}
(u, v, weight) E = { 
      ( 0,  3, 49.148)
      ( 0,  7, 63.803)
      ( 1, 15, -11.517)
      ( 1, 28,  2.694)
      ( 1, 34, 72.320)
      ( 2, 20,  0.684)
      ( 2, 27, 74.653)
      ( 3, 21, 79.565)
      ( 4,  0,  6.639)
      ( 4, 20,  2.481)
      ( 4, 27, 48.024)
      ( 5,  2, 49.348)
      ( 5,  4, 29.867)
      ( 5,  9, 41.598)
      ( 5, 10, 83.608)
      ( 5, 22, 66.927)
      ( 5, 25, 14.947)
      ( 5, 32, 72.702)
      ( 6,  1, 40.066)
      ( 6,  7, 44.564)
      ( 6, 26, 52.861)
      ( 7,  0, -0.101)
      ( 7,  6, 76.055)
      ( 7, 14, 23.730)
      ( 7, 21, 72.825)
      ( 8,  4, 53.759)
      ( 8, 22, 90.718)
      ( 8, 29,  5.948)
      ( 9,  0, 35.857)
      ( 9, 31, 84.485)
      ( 9, 33, 16.467)
      (10,  9, -5.938)
      (10, 33,  6.459)
      (11, 19, 73.433)
      (11, 20,  3.191)
      (12, 23, 71.670)
      (12, 34, -6.067)
      (13,  2, -17.493)
      (13,  3, 52.316)
      (13, 12, 64.438)
      (13, 17, 57.941)
      (13, 20, 60.675)
      (14, 33, 20.362)
      (15, 27, -0.286)
      (15, 31, 32.749)
      (15, 34, 94.800)
      (16, 12, 34.246)
      (16, 26, 94.223)
      (17,  6, 74.275)
      (17,  7, 26.215)
      (17, 15, 30.266)
      (17, 27, 58.429)
      (17, 31, 15.050)
      (18,  8,  3.155)
      (18, 11,  0.217)
      (18, 16, 86.543)
      (18, 19, 36.012)
      (19,  1, 47.478)
      (19, 26, 52.294)
      (20, 25, -7.287)
      (20, 34, 52.728)
      (21,  7, 76.597)
      (21, 14, 92.757)
      (21, 27,  6.076)
