10 graphs in testSPGraphs.txt.

** G1: |V|=10, V={0,1,...9}
(u, v, weight) E = { 
      ( 7, 44, 13.634)
      ( 8, 33, 95.743)
      ( 9, 22, 77.063)
      ( 9, 36, 99.544)
      ( 9, 40, 51.317)
      ( 9, 48,  6.625)
      (12, 45, 94.924)
      (12, 46, 16.035)
      (13, 11, 29.478)
      (14, 46, 35.052)
      (18,  5, 18.113)
      (19,  3, 97.861)
      (20,  8, 44.581)
      (20, 42, 73.234)
      (26, 38, 36.560)
      (26, 41, 23.213)
      (27, 28, 32.237)
      (27, 46, 88.821)
      (28, 47, 76.835)
      (30, 20, 71.386)
      (31, 11,  9.124)
      (31, 13, 99.156)
      (32,  2, 39.368)
      (34,  4, 41.555)
      (34, 13, 60.673)
      (34, 24, 57.901)
      (34, 31, 97.726)
      (41, 30, 32.463)
      (41, 44, 17.705)
      (44,  0,  3.574)
      (44,  6, 99.526)
      (45, 34, 76.328)
      (46, 25, 77.984)
      (47, 25, 98.947)
      (48, 21, 86.028)
      (49, 26, 80.345)
      (49, 40, 91.568) }
------------------------- 

** G7: |V|=50, V={0,1,...49}
(u, v, weight) E = { 
      ( 0,  3, 57.668)
      ( 0, 29, 31.830)
      ( 0, 42, 95.433)
      ( 2, 14, 65.185)
      ( 2, 32, 73.075)
      ( 3,  9, 78.031)
      ( 4, 20, 39.845)
      ( 4, 49, 31.958)
      ( 5,  8, 63.273)
      ( 5, 28, 40.326)
      ( 5, 48, 81.215)
      ( 6,  0, 67.359)
      ( 6, 15,  7.391)
      ( 6, 49,  0.357)
      ( 7, 28, 33.807)
      ( 9,  7, 59.213)
      ( 9, 32, 69.756)
      ( 9, 34, 25.060)
      (10, 22, 59.214)
      (10, 34,  1.889)
      (10, 44, 50.315)
      (11, 28,  0.099)
      (12, 27, 56.475)
      (14, 19, 62.176)
      (17, 11, 49.528)
      (17, 31, 61.113)
      (18, 39, 50.593)
      (19, 18, 97.107)
      (20, 22, 60.392)
      (20, 26, 29.894)
      (20, 27, 44.472)
      (22,  8, 41.586)
      (22, 41,  3.989)
      (24, 26, 28.642)
      (24, 28, 72.996)
      (24, 32, 28.206)
      (24, 48, 74.979)
      (25,  1, 14.216)
      (25,  3, 36.666)
      (25, 12,  2.950)
      (27, 10, 64.905)
      (27, 41, 43.414)
      (29, 28, 31.821)
      (29, 44, 54.715)
      (30, 19, 24.120)
      (30, 43, 64.218)
      (31, 43, 49.657)
      (34,  8, 36.214)
      (34, 48, 93.546)
      (36, 16, 68.248)
      (36, 37, 31.120)
      (40, 39, 76.260)
      (41, 33, 12.539)
      (41, 45, 51.851)
      (42, 10, 90.590)
      (42, 14, 13.474)
      (42, 30,  3.646)
      (43, 28, 14.316)
      (43, 47, 36.946)
      (45, 29,  3.940)
      (45, 33, 74.455)
      (45, 39, 17.622)
      (46, 14, 76.262)
      (46, 16, 87.457)
      (46, 30, 67.755)
      (46, 38,  1.601)
      (47, 12, 92.086)
      (48, 47, 29.246)
      (49, 21, 90.624)
      (49, 33, 88.893)
      (49, 47, 36.500) }
------------------------- 

** G8: |V|=50, V={0,1,...49}
(u, v, weight) E = { 
      ( 0,  1, 70.593)
      ( 0,  2, 85.447)
      ( 1, 10, 98.164)
      ( 1, 27, 70.064)
      ( 1, 35, 59.070)
      ( 2, 15, 25.018)
      ( 2, 40, 64.208)
      ( 3,  4, 77.327)
      ( 3,  6, 45.283)
      ( 3,  7, 38.412)
      ( 3, 12, 50.409)
      ( 3, 30, 20.858)
      ( 3, 39, 30.981)
      ( 4,  9, 79.145)
      ( 4, 14, 80.049)
      ( 5, 36, 40.916)
      ( 6, 25, 82.788)
      ( 7,  8, 46.144)
      ( 7, 13, 58.599)
      ( 7, 21, 39.772)
      ( 7, 34, 22.172)
      ( 7, 37, 78.015)
      ( 8, 42, 70.568)
      ( 8, 46, 75.585)
      ( 9, 27, 97.944)
      (10,  0, 10.502)
      (10, 11, 74.667)
      (11, 18, 27.091)
      (12, 17, 36.235)
      (12, 41, 28.126)
      (12, 47, 50.968)
      (14, 36, 38.412)
      (15, 20, 86.512)
      (15, 24, 11.539)
      (15, 27, 98.333)
      (15, 33, 99.673)
      (16, 20, 52.466)
      (16, 33, 79.315)
      (16, 34, 46.254)
      (16, 35, 34.458)
      (17,  0, 51.450)
      (17, 22, 42.703)
      (18, 23, 57.000)
      (20, 29, 91.483)
      (20, 35,  3.355)
      (24, 46, 77.852)
      (25, 28, 19.144)
      (25, 42, 62.071)
      (26,  5,  6.247)
      (26,  8, 15.605)
      (26, 36, 52.965)
      (28, 27, 81.148)
      (29,  2, 24.510)
      (30, 31, 66.701)
      (31, 17, 29.656)
      (31, 35,  7.836)
      (32, 44, 52.161)
      (32, 48, 87.557)
      (34, 38, 50.246)
      (35, 11,  6.607)
      (36, 34, 74.383)
      (37,  5, 50.343)
      (37, 11, 44.641)
      (37, 17, 31.404)
      (37, 19, 39.040)
      (38, 26, 30.921)
      (40, 43, 87.036)
      (40, 46, 18.510)
      (41, 32, 54.229)
      (41, 46, 15.697)
      (43, 39, 13.844)
      (46,  3, 58.446)
      (46, 45, 30.377)
      (46, 49,  8.416)
      (47, 29, 88.103)
      (47, 42, 91.020)
      (48, 37, 19.286)
      (49, 16, 47.209) }
------------------------- 

** G9: |V|=50, V={0,1,...49}
(u, v, weight) E = { 
      ( 0,  1, 89.919)
      ( 0, 16,  4.537)
      ( 1,  3,  8.490)
      ( 1, 14, 32.559)
      ( 1, 28, 89.212)
      ( 1, 31, 90.153)
      ( 1, 43, 81.023)
      ( 2, 23, 41.285)
      ( 3, 13, 11.949)
      ( 3, 17, 46.788)
      ( 3, 20, 68.463)
      ( 4,  7,  2.506)
      ( 4,  8, 75.085)
      ( 5, 11, 71.752)
      ( 5, 24, 70.861)
      ( 5, 26, 25.892)
      ( 5, 40, 31.605)
      ( 5, 45, 51.601)
      ( 6,  3, 11.640)
      ( 6,  9, 50.438)
      ( 6, 18, 79.630)
      ( 6, 32, 24.049)
      ( 6, 35, 43.759)
      ( 7, 33, 88.119)
      ( 8,  0, 34.882)
      ( 8, 10, 27.247)
      ( 8, 19, 29.983)
      ( 8, 36, 43.159)
      ( 8, 37, 68.264)
      ( 8, 38, 91.722)
      ( 9, 12, 25.221)
      ( 9, 14, 45.582)
      ( 9, 30, 21.256)
      (10,  9,  5.036)
      (10, 42, 80.342)
      (12, 23, 41.560)
      (12, 25, 38.172)
      (12, 34, 90.701)
      (14,  6, 39.428)
      (14, 15, 99.169)
      (14, 21, 78.140)
      (14, 22, 92.289)
      (15, 21, 25.231)
      (17, 10, 59.999)
      (17, 16, 13.461)
      (17, 35, 16.978)
      (17, 48, 42.478)
      (18, 39, 98.085)
      (19, 20,  0.158)
      (19, 31, 21.294)
      (20,  2, 54.370)
      (20,  4, 13.861)
      (20, 27, 91.486)
      (20, 29, 95.265)
      (20, 30, 71.654)
      (21, 23,  9.935)
      (21, 26, 93.894)
      (23,  5, 13.561)
      (27, 46, 77.504)
      (28, 44, 51.515)
      (32,  8, 36.085)
      (32, 18, 20.318)
      (32, 21, 11.913)
      (32, 30, 19.709)
      (34, 47, 62.834)
      (35, 41, 85.361)
      (38, 19, 75.297)
      (38, 20,  2.813)
      (42, 40, 36.141)
      (42, 49, 52.754)
      (43, 49, 91.619)
      (45, 29, 64.120)
      (45, 36, 19.692)
      (46, 33, 33.191)
      (47, 35, 52.775)
      (47, 45, 23.121)
      (48, 13, 51.917)
      (48, 19, 27.853)
      (48, 23, 40.467)
      (48, 35,  1.460)
      (49,  8, 61.281) }
------------------------- 

** G10: |V|=50, V={0,1,...49}
(u, v, weight) E = { 
      ( 0, 23, 50.280)
      ( 0, 43, 26.255)
      ( 1,  7, 56.246)
      ( 1, 23, 65.299)
      ( 2, 27, 42.035)
      ( 4, 44, 90.330)
      ( 5,  9, 52.054)
      ( 5, 28, 28.566)
      ( 5, 29, 20.623)
      ( 5, 37, 10.710)
      ( 6, 18, 61.730)
      ( 8,  3, 64.133)
      ( 8, 13, 53.760)
      (10, 31, 59.698)
      (10, 40, 89.205)
      (11,  8, 41.416)
      (11, 24, 30.623)
      (11, 31, 56.597)
      (11, 39, 95.080)
      (14, 47, 33.600)
      (15,  2, 61.211)
      (15, 35, 71.580)
      (16,  6, 48.801)
      (16, 43, 77.964)
      (17, 18, 44.528)
      (18, 32, 94.219)
      (19, 21, 42.880)
      (19, 41, 24.368)
      (21, 28, 61.804)
      (21, 30, 23.794)
      (21, 38, 81.342)
      (21, 41, 49.175)
      (23,  6, 74.942)
      (23, 11, 90.054)
      (26, 37, 17.504)
      (27, 24, 40.758)
      (28, 11, 78.032)
      (29, 24, 88.910)
      (29, 25, 36.296)
      (30, 28,  7.136)
      (32, 48, 41.693)
      (33, 32, 15.572)
      (33, 34, 71.128)
      (36, 38, 17.672)
      (37, 43, 40.202)
      (38, 12, 84.938)
      (39, 43, 23.567)
      (39, 48, 99.643)
      (40,  0, 17.931)
      (40, 21, 19.150)
      (40, 43, 71.075)
      (44, 28, 46.314)
      (45,  9, 76.210)
      (46, 10, 36.898)
      (46, 15, 78.846)
      (47,  6,  5.117)
      (48, 23, 17.030)
      (49,  1, 34.965)
      (49, 39, 58.206) }
------------------------- 

